Ee [W/sqm] (280-315nm),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Ee [W/sqm] (315-400nm),0.00E+00,0.00E+00,2.67E-06,8.72E-05,6.68E-05,8.21E-04,0.00E+00,0.00E+00,1.33E-08,2.40E-06,2.66E-04,5.10E-05
Q17 (Magenta),0,0.1,0,0,0,0,47.8,20,0.1,0.1,0.1,0.1
Q18 (Cyan),0,3,0,0,0,0,40.4,21.9,8.7,7.3,7,7.3
Q19 (White 90.01%),0,99.9,0,0,0,0,93.6,99.4,99.9,99.9,100,100
Q20 (Neutral 8 59.1%),0,99.9,0,0,0,0,95.3,99.5,99.9,100,100,100
Q21 (Neutral 6.5 36.2%),0,99.9,0,0,0,0,96.8,99.7,100,100,100,100
Q22 (Neutral 5 19.77%),0,100,0,0,0,0,98.1,99.8,100,100,100,100
Q23 (Neutral 3.5 9%),0,100,0,0,0,0,98.9,99.9,100,100,100,100
Q24 (Black 3.13),0,100,0,0,0,0,99.5,100,100,100,100,100
Qa,0,0.7,0,0,0,0,56.2,25.4,0.6,0.6,0.6,0.6
,,,,,,,,,,,,
TLMF - 2013,,,,,,,,,,,,
Reference name,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default
Q1 (Dark skin),0,0.3,0,0,0,0,76.4,1.1,0.8,0.8,0.8,0.8
Q2 (Light skin),0,0.2,0,0,0,0,41.8,0.7,0.5,0.5,0.5,0.5
Q3 (Blue sky),0,0.5,0,0,0,0,59.5,1,0.8,0.8,0.8,0.9
Q4 (Foliage),0,0.1,0,0,0,0,99.1,0.5,0.4,0.4,0.4,0.4
Q5 (Blue flower),0,0.4,0,0,0,0,59.6,0.3,0.3,0.3,0.3,0.3
Q6 (Bluish green),0,0.2,0,0,0,0,54.8,0.3,0.2,0.2,0.2,0.2
Q7 (Orange),0,0.2,0,0,0,0,61.4,0.6,0.5,0.5,0.5,0.5
Q8 (Purplish blue),0,0.2,0,0,0,0,88.9,0.3,0.4,0.4,0.4,0.4
Q9 (Moderate red),0,0.1,0,0,0,0,41.8,0.5,0.4,0.3,0.3,0.4
Q10 (Purple),0,0.5,0,0,0,0,16.6,0.3,0.3,0.3,0.3,0.3
Q11 (Yellow green),0,1.7,0,0,0,0,92.2,0.3,0.2,0.2,0.2,0.2
Q12 (Orange yellow),0,0.4,0,0,0,0,50.2,0.5,0.4,0.4,0.4,0.4
Q13 (Blue),0,0.2,0,0,0,0,95.4,0.9,0.3,0.3,0.3,0.3
Q14 (Green),0,0.1,0,0,0,0,88.2,0.5,0.3,0.3,0.3,0.3
Q15 (Red),0,0.1,0,0,0,0,35.7,0.5,0.3,0.3,0.3,0.3
Q16 (Yellow),0,0.5,0,0,0,0,64.5,0.3,0.3,0.2,0.2,0.3
Q17 (Magenta),0,0.3,0,0,0,0,14.2,0.1,0.1,0.1,0.1,0.1
Q18 (Cyan),0,0.6,0,0,0,0,79.2,2.7,3.5,3,3,3.1
Q19 (White 90.01%),0,0.3,0,0,0,0,49.4,0.4,0.3,0.3,0.3,0.3
Q20 (Neutral 8 59.1%),0,0.3,0,0,0,0,57.2,0.5,0.4,0.4,0.4,0.4
Q21 (Neutral 6.5 36.2%),0,0.3,0,0,0,0,66.4,0.5,0.4,0.4,0.4,0.4
Q22 (Neutral 5 19.77%),0,0.3,0,0,0,0,75.7,0.6,0.5,0.5,0.5,0.5
Q23 (Neutral 3.5 9%),0,0.4,0,0,0,0,85.1,0.8,0.7,0.6,0.7,0.7
Q24 (Black 3.13),0,0.6,0,0,0,0,92.4,1.3,1,1,1,1
Qa,0,0.2,0,0,0,0,40,0.3,0.3,0.3,0.3,0.3
,,,,,,,,,,,,
IES TM-30-15,,,,,,,,,,,,
Rf,0,0,0,0,0,0,65,56,46,39,36,37
Rg,0,172,0,0,0,0,77,77,56,45,41,41
(Rf; Chroma; Hue) for Hue Bin 1,0; 0%; 0%,0; -0%; -5%,0; 0%; 0%,0; 0%; 0%,0; 0%; 0%,0; 0%; 0%,69; -12%; 7%,45; -26%; 8%,36; -32%; -2%,32; -34%; -9%,31; -33%; -11%,33; -32%; -11%
(Rf; Chroma; Hue) for Hue Bin 2,0; 0%; 0%,0; -86%; 111%,0; 0%; 0%,0; 0%; 0%,0; 0%; 0%,0; 0%; 0%,87; -3%; 2%,44; -21%; 20%,31; -36%; 8%,25; -39%; -5%,22; -40%; -9%,22; -41%; -9%
